"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1400000US06103001100","Census Tract 11, Tehama County, California","7523"
"1400000US06105000300","Census Tract 3, Trinity County, California","3105"
"1400000US06105000101","Census Tract 1.01, Trinity County, California","2867"
"1400000US06105000102","Census Tract 1.02, Trinity County, California","4558"
"1400000US06105000200","Census Tract 2, Trinity County, California","2281"
"1400000US06105000400","Census Tract 4, Trinity County, California","975"
"1400000US06107000201","Census Tract 2.01, Tulare County, California","9406"
"1400000US06107000302","Census Tract 3.02, Tulare County, California","3427"
"1400000US06107000100","Census Tract 1, Tulare County, California","5142"
"1400000US06107000202","Census Tract 2.02, Tulare County, California","2663"
"1400000US06107000301","Census Tract 3.01, Tulare County, California","6717"
"1400000US06107000401","Census Tract 4.01, Tulare County, California","5193"
"1400000US06037403325","Census Tract 4033.25, Los Angeles County, California","4795"
"1400000US06037403401","Census Tract 4034.01, Los Angeles County, California","5038"
"1400000US06037403402","Census Tract 4034.02, Los Angeles County, California","3322"
"1400000US06037403406","Census Tract 4034.06, Los Angeles County, California","2796"
"1400000US06037403403","Census Tract 4034.03, Los Angeles County, California","5140"
"1400000US06037403404","Census Tract 4034.04, Los Angeles County, California","2521"
"1400000US06037403405","Census Tract 4034.05, Los Angeles County, California","1631"
"1400000US06037403407","Census Tract 4034.07, Los Angeles County, California","2132"
"1400000US06037403408","Census Tract 4034.08, Los Angeles County, California","6576"
"1400000US06037403500","Census Tract 4035, Los Angeles County, California","1628"
"1400000US06037403600","Census Tract 4036, Los Angeles County, California","6672"
"1400000US06037403702","Census Tract 4037.02, Los Angeles County, California","3794"
"1400000US06037403703","Census Tract 4037.03, Los Angeles County, California","4748"
"1400000US06037403721","Census Tract 4037.21, Los Angeles County, California","4998"
"1400000US06037403722","Census Tract 4037.22, Los Angeles County, California","5734"
"1400000US06037403801","Census Tract 4038.01, Los Angeles County, California","6212"
"1400000US06037403802","Census Tract 4038.02, Los Angeles County, California","5553"
"1400000US06037403901","Census Tract 4039.01, Los Angeles County, California","3110"
"1400000US06037403902","Census Tract 4039.02, Los Angeles County, California","4806"
"1400000US06037404000","Census Tract 4040, Los Angeles County, California","4474"
"1400000US06037404100","Census Tract 4041, Los Angeles County, California","6445"
"1400000US06037404201","Census Tract 4042.01, Los Angeles County, California","3711"
"1400000US06037404401","Census Tract 4044.01, Los Angeles County, California","3979"
"1400000US06037404202","Census Tract 4042.02, Los Angeles County, California","3366"
"1400000US06037404301","Census Tract 4043.01, Los Angeles County, California","5665"
"1400000US06037404302","Census Tract 4043.02, Los Angeles County, California","2498"
"1400000US06037404402","Census Tract 4044.02, Los Angeles County, California","5107"
"1400000US06037404501","Census Tract 4045.01, Los Angeles County, California","2355"
"1400000US06037404503","Census Tract 4045.03, Los Angeles County, California","2977"
"1400000US06037404504","Census Tract 4045.04, Los Angeles County, California","5266"
"1400000US06037404600","Census Tract 4046, Los Angeles County, California","1422"
"1400000US06037404701","Census Tract 4047.01, Los Angeles County, California","5873"
"1400000US06037404702","Census Tract 4047.02, Los Angeles County, California","5882"
"1400000US06037404703","Census Tract 4047.03, Los Angeles County, California","3178"
"1400000US06037404801","Census Tract 4048.01, Los Angeles County, California","7305"
"1400000US06037404802","Census Tract 4048.02, Los Angeles County, California","4335"
"1400000US06037404803","Census Tract 4048.03, Los Angeles County, California","1741"
"1400000US06037404901","Census Tract 4049.01, Los Angeles County, California","5658"
"1400000US06037404902","Census Tract 4049.02, Los Angeles County, California","3973"
"1400000US06037404903","Census Tract 4049.03, Los Angeles County, California","2905"
"1400000US06037405001","Census Tract 4050.01, Los Angeles County, California","6170"
"1400000US06037405002","Census Tract 4050.02, Los Angeles County, California","3197"
"1400000US06037405202","Census Tract 4052.02, Los Angeles County, California","5227"
"1400000US06037405101","Census Tract 4051.01, Los Angeles County, California","5304"
"1400000US06037406102","Census Tract 4061.02, Los Angeles County, California","5828"
"1400000US06037406200","Census Tract 4062, Los Angeles County, California","5678"
"1400000US06037406300","Census Tract 4063, Los Angeles County, California","5532"
"1400000US06037406402","Census Tract 4064.02, Los Angeles County, California","2076"
"1400000US06037406601","Census Tract 4066.01, Los Angeles County, California","5269"
"1400000US06037406411","Census Tract 4064.11, Los Angeles County, California","2126"
"1400000US06037406412","Census Tract 4064.12, Los Angeles County, California","2482"
"1400000US06037406500","Census Tract 4065, Los Angeles County, California","6705"
